Period,StartDate,EndDate
Future_Daily_1,24/02/2025,24/02/2025
Future_Daily_2,25/02/2025,25/02/2025
Future_Daily_3,26/02/2025,26/02/2025
Future_Daily_4,27/02/2025,27/02/2025
Future_Daily_5,28/02/2025,28/02/2025
Future_Daily_6,01/03/2025,01/03/2025
Future_Daily_7,02/03/2025,02/03/2025
Historical_Daily_1,25/02/2022,25/02/2022
Historical_Daily_2,26/02/2022,26/02/2022
Historical_Daily_3,27/02/2022,27/02/2022
Historical_Daily_4,28/02/2022,28/02/2022
Historical_Daily_5,01/03/2022,01/03/2022
Historical_Daily_6,02/03/2022,02/03/2022
Historical_Daily_7,03/03/2022,03/03/2022
Historical_Daily_8,04/03/2022,04/03/2022
Historical_Daily_9,05/03/2022,05/03/2022
Historical_Daily_10,06/03/2022,06/03/2022
Historical_Daily_11,07/03/2022,07/03/2022
Historical_Daily_12,08/03/2022,08/03/2022
Historical_Daily_13,09/03/2022,09/03/2022
Historical_Daily_14,10/03/2022,10/03/2022
Historical_Daily_15,11/03/2022,11/03/2022
Historical_Daily_16,12/03/2022,12/03/2022
Historical_Daily_17,13/03/2022,13/03/2022
Historical_Daily_18,14/03/2022,14/03/2022
Historical_Daily_19,15/03/2022,15/03/2022
Historical_Daily_20,16/03/2022,16/03/2022
Historical_Daily_21,17/03/2022,17/03/2022
Historical_Daily_22,18/03/2022,18/03/2022
Historical_Daily_23,19/03/2022,19/03/2022
Historical_Daily_24,20/03/2022,20/03/2022
Historical_Daily_25,21/03/2022,21/03/2022
Historical_Daily_26,22/03/2022,22/03/2022
Historical_Daily_27,23/03/2022,23/03/2022
Historical_Daily_28,24/03/2022,24/03/2022
Historical_Daily_29,25/03/2022,25/03/2022
Historical_Daily_30,26/03/2022,26/03/2022
Historical_Daily_31,27/03/2022,27/03/2022
Historical_Daily_32,28/03/2022,28/03/2022
Historical_Daily_33,29/03/2022,29/03/2022
Historical_Daily_34,30/03/2022,30/03/2022
Historical_Daily_35,31/03/2022,31/03/2022
